"month","day","mean","sdmean","rollmean","year","date","minus","plus"
6,9,9.44476288589224e-06,5.43663839818711e-06,1.06569410657905e-05,2020,2020-06-09,8.11245810177884e-06,1.32014240298021e-05
6,10,1.13840789408438e-05,5.01557164316031e-06,1.05980222731631e-05,2020,2020-06-10,8.87512114799855e-06,1.23209233983276e-05
6,11,1.09652249927532e-05,4.00285918750716e-06,1.15205879591292e-05,2020,2020-06-11,1.04971487208649e-05,1.25440271973935e-05
6,12,1.22124599437906e-05,6.82635739654212e-06,1.14899813780338e-05,2020,2020-06-12,1.07884264267516e-05,1.21915363293161e-05
6,13,1.12922591975578e-05,5.07528710250774e-06,1.13576774200603e-05,2020,2020-06-13,1.04329895167227e-05,1.22823653233978e-05
6,14,1.05683131188324e-05,6.79490180278331e-06,1.15975435123475e-05,2020,2020-06-14,9.91719772697253e-06,1.32778892977225e-05
6,15,1.29320582206524e-05,6.04472878713452e-06,1.15606734893241e-05,2020,2020-06-15,1.03263721595519e-05,1.27949748190963e-05
6,16,1.11816491284875e-05,5.72205319041129e-06,1.18414454478456e-05,2020,2020-06-16,1.03994410861983e-05,1.32834498094928e-05
6,17,1.14106289943968e-05,4.67695967343111e-06,1.09665921212249e-05,2020,2020-06-17,9.84152811504489e-06,1.20916561274048e-05
6,18,1.03074982407903e-05,4.14012704938998e-06,1.0294082145281e-05,2020,2020-06-18,7.62254508677149e-06,1.29656192037905e-05
6,19,9.16411920065598e-06,5.94107204345892e-06,1.00930828276584e-05,2020,2020-06-19,6.12947255810684e-06,1.40566930972099e-05
6,20,1.08076310415289e-05,6.40764083306173e-06,1.0154688415841e-05,2020,2020-06-20,6.18362336627188e-06,1.41257534654102e-05
6,21,1.04923150053382e-05,4.10659640099964e-06,1.042698753823e-05,2020,2020-06-21,7.88250457421838e-06,1.29714705022416e-05
6,22,9.98101656782287e-06,5.45171798477745e-06,1.05221164627012e-05,2020,2020-06-22,8.79921533753664e-06,1.22450175878657e-05
6,23,1.10930178149424e-05,4.24256603008696e-06,1.06050863610226e-05,2020,2020-06-23,9.58164712275825e-06,1.16285255992869e-05
6,24,1.07412247003025e-05,5.00218904953292e-06,1.04468724785736e-05,2020,2020-06-24,9.74531752729131e-06,1.11484274298559e-05
6,25,9.5063749204759e-06,3.65403999098321e-06,1.01260199952093e-05,2020,2020-06-25,9.20133209187182e-06,1.10507078985469e-05
6,26,1.01304603648496e-05,4.6783005131821e-06,9.9503306322215e-06,2020,2020-06-26,8.26998484684651e-06,1.16306764175965e-05
6,27,1.02141566113389e-05,5.50769475427015e-06,1.08978620889775e-05,2020,2020-06-27,9.66356075920531e-06,1.21321634187497e-05
6,28,1.23489692907439e-05,2.83249492191201e-06,1.10973148729977e-05,2020,2020-06-28,9.6553105113505e-06,1.2539319234645e-05
6,29,1.07288187169103e-05,9.39617119266521e-07,1.05616968725509e-05,2020,2020-06-29,9.43663286637099e-06,1.16867608787309e-05
6,30,8.60730260999858e-06,6.95141643489503e-06,1.02444701830692e-05,2020,2020-06-30,7.57293312455965e-06,1.29160072415787e-05
7,1,1.13972892222986e-05,3.25355018162618e-06,1.02813605223136e-05,2020,2020-07-01,6.31775025276209e-06,1.42449707918652e-05
7,2,1.08394897346437e-05,3.5055024204365e-06,9.9962273030582e-06,2020,2020-07-02,6.02516225348905e-06,1.39672923526274e-05
7,3,7.75190295223227e-06,5.14710125105824e-06,8.46730757075421e-06,2020,2020-07-03,5.92282460674259e-06,1.10117905347658e-05
7,4,6.81053002538663e-06,5.05738103017245e-06,7.83413679202871e-06,2020,2020-07-04,6.11123566686419e-06,9.55703791719323e-06
7,5,8.93997739846722e-06,3.82713102970324e-06,9.01291946984622e-06,2020,2020-07-05,7.9894802315819e-06,1.00363587081105e-05
7,6,1.12882509856848e-05,3.2662657959021e-06,9.19589995367569e-06,2020,2020-07-06,8.4943450023934e-06,9.89745490495797e-06
7,7,7.35947147687502e-06,5.29485411024122e-06,8.29250188460271e-06,2020,2020-07-07,7.36781398126519e-06,9.21718978794023e-06
7,8,6.2297831912483e-06,5.33563085835217e-06,7.91774792437414e-06,2020,2020-07-08,6.23740213899915e-06,9.59809370974913e-06
7,9,1.01639891049991e-05,3.27677774261706e-06,1.00882285933738e-05,2020,2020-07-09,8.85392726360163e-06,1.1322529923146e-05
7,10,1.38709134838741e-05,3.09027943483833e-06,1.20713372973536e-05,2020,2020-07-10,1.06293329357064e-05,1.35133416590009e-05
7,11,1.21791093031877e-05,3.31191349743634e-06,1.24629158390621e-05,2020,2020-07-11,1.13378518328821e-05,1.3587979845242e-05
7,12,1.13387247301244e-05,5.36156388289138e-06,1.15321230817631e-05,2020,2020-07-12,8.8605860232536e-06,1.42036601402726e-05
7,13,1.10785352119773e-05,5.62763017362026e-06,1.1984422230994e-05,2020,2020-07-13,8.0208119614425e-06,1.59480325005456e-05
7,14,1.35360067508805e-05,3.66907024344152e-06,1.26182135152538e-05,2020,2020-07-14,8.6471484656847e-06,1.6589278564823e-05
7,15,1.32400985829038e-05,4.49886723875866e-06,1.27669710839182e-05,2020,2020-07-15,1.02224881199066e-05,1.53114540479298e-05
7,16,1.15248079179703e-05,4.47239245066193e-06,1.21370906519626e-05,2020,2020-07-16,1.0414189526798e-05,1.38599917771271e-05
7,17,1.16463654550135e-05,6.09749700426315e-06,1.24639341216043e-05,2020,2020-07-17,1.144049488334e-05,1.34873733598687e-05
7,18,1.42206289918292e-05,3.86756289208843e-06,1.25045713546159e-05,2020,2020-07-18,1.18030164033336e-05,1.32061263058981e-05
7,19,1.16467196170049e-05,8.01112567457182e-06,1.28876277081681e-05,2020,2020-07-19,1.19629398048305e-05,1.38123156115056e-05
