date;year;month;day;hour;minute;second;T42
19.1.2018 6:00;2018;1;19;6;0;0;-9,6722
19.1.2018 7:00;2018;1;19;7;0;0;-9,0723
19.1.2018 8:00;2018;1;19;8;0;0;-8,7713
19.1.2018 9:00;2018;1;19;9;0;0;-8,6983
19.1.2018 10:00;2018;1;19;10;0;0;-8,5297
19.1.2018 11:00;2018;1;19;11;0;0;-8,0952
19.1.2018 12:00;2018;1;19;12;0;0;-7,7127
19.1.2018 13:00;2018;1;19;13;0;0;-7,8902
19.1.2018 14:00;2018;1;19;14;0;0;-8,424
19.1.2018 15:00;2018;1;19;15;0;0;-8,572
19.1.2018 16:00;2018;1;19;16;0;0;-9,0575
19.1.2018 17:00;2018;1;19;17;0;0;-9,6408
19.1.2018 18:00;2018;1;19;18;0;0;-11,0077
19.1.2018 19:00;2018;1;19;19;0;0;-12,0185
19.1.2018 20:00;2018;1;19;20;0;0;-12,1583
19.1.2018 21:00;2018;1;19;21;0;0;-11,3095
19.1.2018 22:00;2018;1;19;22;0;0;-10,4468
19.1.2018 23:00;2018;1;19;23;0;0;-10,3032
20.1.2018 0:00;2018;1;20;0;0;0;-10,9195
20.1.2018 1:00;2018;1;20;1;0;0;-11,7007
20.1.2018 2:00;2018;1;20;2;0;0;-11,6217
20.1.2018 3:00;2018;1;20;3;0;0;-11,7308
20.1.2018 4:00;2018;1;20;4;0;0;-11,7415
20.1.2018 5:00;2018;1;20;5;0;0;-11,92
20.1.2018 6:00;2018;1;20;6;0;0;-11,0083
20.1.2018 7:00;2018;1;20;7;0;0;-10,201
20.1.2018 8:00;2018;1;20;8;0;0;-9,8773
20.1.2018 9:00;2018;1;20;9;0;0;-10,0378
20.1.2018 10:00;2018;1;20;10;0;0;-9,399
20.1.2018 11:00;2018;1;20;11;0;0;-8,809
20.1.2018 12:00;2018;1;20;12;0;0;-7,926
